engine,suite,test,metric,unit,value,ts,run_id,round,velox_ver,dd_ver
dd,launch,run_true,median_s,s,0.13046272302,1787647818.525358,2026-08-24,2,1.2.0,4.88.0
dd,launch,churn30_per,per_s,s,0.135,1787647822.765545,2026-08-24,2,1.2.0,4.88.0
dd,launch,parallel20_total,total_s,s,0.976,1787647823.9672918,2026-08-24,2,1.2.0,4.88.0
dd,net,pubport_h2c_p1,gbits,gbps,12.78,1787647833.244499,2026-08-24,2,1.2.0,4.88.0
dd,net,pubport_h2c_p4,gbits,gbps,25.04,1787647841.392878,2026-08-24,2,1.2.0,4.88.0
dd,net,c2host,gbits,gbps,25.48,1787647849.815925,2026-08-24,2,1.2.0,4.88.0
dd,net,c2c,gbits,gbps,102.51,1787647858.417314,2026-08-24,2,1.2.0,4.88.0
dd,io,cp_out,mbps,MBps,217.7,1787647863.83678,2026-08-24,2,1.2.0,4.88.0
dd,io,cp_in,mbps,MBps,148.1,1787647870.937237,2026-08-24,2,1.2.0,4.88.0
dd,fs,bind_write,mbps,MBps,1267.2,1787647872.408036,2026-08-24,2,1.2.0,4.88.0
dd,fs,bind_read,mbps,MBps,2180.3,1787647873.062242,2026-08-24,2,1.2.0,4.88.0
dd,fs,vol_write,mbps,MBps,2012.0,1787647873.80302,2026-08-24,2,1.2.0,4.88.0
dd,fs,overlay_write,mbps,MBps,1656.3,1787647874.658192,2026-08-24,2,1.2.0,4.88.0
dd,fs,smallfiles_bind,extract_s,s,2.595,1787647877.45746,2026-08-24,2,1.2.0,4.88.0
dd,image,load_local,total_s,s,6.524,1787647891.184352,2026-08-24,2,1.2.0,4.88.0
dd,image,load_local,size_mb,MB,381,1787647891.304571,2026-08-24,2,1.2.0,4.88.0
dd,realworld,pgbench_init,load_s,s,2.18,1787647896.179671,2026-08-24,2,1.2.0,4.88.0
dd,realworld,pgbench_tps,tps,tps,12371.529152,1787647926.3635159,2026-08-24,2,1.2.0,4.88.0
dd,build,cold,total_s,s,1.763,1787647929.357362,2026-08-24,2,1.2.0,4.88.0
dd,build,cached_noop,total_s,s,0.234,1787647929.806907,2026-08-24,2,1.2.0,4.88.0
dd,build,incremental,total_s,s,1.568,1787647931.5734131,2026-08-24,2,1.2.0,4.88.0
dd,build,context_xfer,mbps,MBps,86.8,1787647937.740049,2026-08-24,2,1.2.0,4.88.0
dd,compose,up_ready,total_s,s,3.475,1787647959.9531798,2026-08-24,2,1.2.0,4.88.0
dd,compose,down,total_s,s,3.473,1787647963.612556,2026-08-24,2,1.2.0,4.88.0
dd,emul,amd64_sha,total_s,s,2.049,1787647986.370479,2026-08-24,2,1.2.0,4.88.0
dd,emul,native_sha,total_s,s,0.425,1787647986.434818,2026-08-24,2,1.2.0,4.88.0
dd,emul,amd64_tax,ratio,x,4.82,1787647986.557865,2026-08-24,2,1.2.0,4.88.0
dd,quality,slept,flag,n,0,1787647988.980762,2026-08-24,2,1.2.0,4.88.0
velox,launch,run_true,median_s,s,0.10655547438,1787648103.3693461,2026-08-24,2,1.2.0,4.88.0
velox,launch,churn30_per,per_s,s,0.11,1787648106.862189,2026-08-24,2,1.2.0,4.88.0
velox,launch,parallel20_total,total_s,s,0.812,1787648107.878824,2026-08-24,2,1.2.0,4.88.0
velox,net,pubport_h2c_p1,gbits,gbps,49.3,1787648117.398359,2026-08-24,2,1.2.0,4.88.0
velox,net,pubport_h2c_p4,gbits,gbps,61.58,1787648125.553322,2026-08-24,2,1.2.0,4.88.0
velox,net,c2host,gbits,gbps,51.18,1787648133.9129431,2026-08-24,2,1.2.0,4.88.0
velox,net,c2c,gbits,gbps,133.65,1787648142.39961,2026-08-24,2,1.2.0,4.88.0
velox,io,cp_out,mbps,MBps,542.8,1787648144.891129,2026-08-24,2,1.2.0,4.88.0
velox,io,cp_in,mbps,MBps,379.1,1787648147.7851362,2026-08-24,2,1.2.0,4.88.0
velox,fs,bind_write,mbps,MBps,1538.0,1787648149.333056,2026-08-24,2,1.2.0,4.88.0
velox,fs,bind_read,mbps,MBps,2574.1,1787648149.944772,2026-08-24,2,1.2.0,4.88.0
velox,fs,vol_write,mbps,MBps,2114.9,1787648150.6606028,2026-08-24,2,1.2.0,4.88.0
velox,fs,overlay_write,mbps,MBps,2261.1,1787648151.352858,2026-08-24,2,1.2.0,4.88.0
velox,fs,smallfiles_bind,extract_s,s,3.205,1787648154.788921,2026-08-24,2,1.2.0,4.88.0
velox,image,load_local,total_s,s,6.504,1787648169.496764,2026-08-24,2,1.2.0,4.88.0
velox,image,load_local,size_mb,MB,381,1787648169.619591,2026-08-24,2,1.2.0,4.88.0
velox,realworld,pgbench_init,load_s,s,2.196,1787648174.6216729,2026-08-24,2,1.2.0,4.88.0
velox,realworld,pgbench_tps,tps,tps,14312.079902,1787648204.7525,2026-08-24,2,1.2.0,4.88.0
velox,build,cold,total_s,s,1.599,1787648207.376972,2026-08-24,2,1.2.0,4.88.0
velox,build,cached_noop,total_s,s,0.23,1787648207.804673,2026-08-24,2,1.2.0,4.88.0
velox,build,incremental,total_s,s,1.476,1787648209.48191,2026-08-24,2,1.2.0,4.88.0
velox,build,context_xfer,mbps,MBps,145.0,1787648213.3529868,2026-08-24,2,1.2.0,4.88.0
velox,compose,up_ready,total_s,s,3.566,1787648235.343213,2026-08-24,2,1.2.0,4.88.0
velox,compose,down,total_s,s,10.361,1787648245.922925,2026-08-24,2,1.2.0,4.88.0
velox,emul,amd64_sha,total_s,s,2.068,1787648269.197193,2026-08-24,2,1.2.0,4.88.0
velox,emul,native_sha,total_s,s,0.423,1787648269.2724721,2026-08-24,2,1.2.0,4.88.0
velox,emul,amd64_tax,ratio,x,4.89,1787648269.415521,2026-08-24,2,1.2.0,4.88.0
velox,quality,slept,flag,n,0,1787648271.882533,2026-08-24,2,1.2.0,4.88.0
velox,launch,run_true,median_s,s,0.11203524990000002,1787648381.2105742,2026-08-24,3,1.2.0,4.88.0
velox,launch,churn30_per,per_s,s,0.116,1787648384.9160168,2026-08-24,3,1.2.0,4.88.0
velox,launch,parallel20_total,total_s,s,0.873,1787648385.9973729,2026-08-24,3,1.2.0,4.88.0
velox,net,pubport_h2c_p1,gbits,gbps,46.55,1787648395.502909,2026-08-24,3,1.2.0,4.88.0
velox,net,pubport_h2c_p4,gbits,gbps,59.77,1787648403.665098,2026-08-24,3,1.2.0,4.88.0
velox,net,c2host,gbits,gbps,91.22,1787648412.030132,2026-08-24,3,1.2.0,4.88.0
velox,net,c2c,gbits,gbps,104.19,1787648420.516715,2026-08-24,3,1.2.0,4.88.0
velox,io,cp_out,mbps,MBps,540.0,1787648422.95651,2026-08-24,3,1.2.0,4.88.0
velox,io,cp_in,mbps,MBps,372.7,1787648425.8997812,2026-08-24,3,1.2.0,4.88.0
velox,fs,bind_write,mbps,MBps,1307.2,1787648427.455796,2026-08-24,3,1.2.0,4.88.0
velox,fs,bind_read,mbps,MBps,2452.1,1787648428.0923882,2026-08-24,3,1.2.0,4.88.0
velox,fs,vol_write,mbps,MBps,2119.4,1787648428.814721,2026-08-24,3,1.2.0,4.88.0
velox,fs,overlay_write,mbps,MBps,1635.7,1787648429.6982138,2026-08-24,3,1.2.0,4.88.0
velox,fs,smallfiles_bind,extract_s,s,2.263,1787648432.197012,2026-08-24,3,1.2.0,4.88.0
velox,image,load_local,total_s,s,6.811,1787648442.869787,2026-08-24,3,1.2.0,4.88.0
velox,image,load_local,size_mb,MB,381,1787648442.994289,2026-08-24,3,1.2.0,4.88.0
velox,realworld,pgbench_init,load_s,s,2.227,1787648448.0328739,2026-08-24,3,1.2.0,4.88.0
velox,realworld,pgbench_tps,tps,tps,13771.228988,1787648478.164421,2026-08-24,3,1.2.0,4.88.0
velox,build,cold,total_s,s,1.581,1787648480.996831,2026-08-24,3,1.2.0,4.88.0
velox,build,cached_noop,total_s,s,0.231,1787648481.430495,2026-08-24,3,1.2.0,4.88.0
velox,build,incremental,total_s,s,1.532,1787648483.1683998,2026-08-24,3,1.2.0,4.88.0
velox,build,context_xfer,mbps,MBps,147.2,1787648486.9715352,2026-08-24,3,1.2.0,4.88.0
velox,compose,up_ready,total_s,s,3.586,1787648509.568052,2026-08-24,3,1.2.0,4.88.0
velox,compose,down,total_s,s,10.354,1787648520.14148,2026-08-24,3,1.2.0,4.88.0
velox,emul,amd64_sha,total_s,s,2.079,1787648543.752327,2026-08-24,3,1.2.0,4.88.0
velox,emul,native_sha,total_s,s,0.423,1787648543.823976,2026-08-24,3,1.2.0,4.88.0
velox,emul,amd64_tax,ratio,x,4.91,1787648543.971796,2026-08-24,3,1.2.0,4.88.0
velox,quality,slept,flag,n,0,1787648546.455692,2026-08-24,3,1.2.0,4.88.0
dd,launch,run_true,median_s,s,0.12891834834000002,1787648650.564111,2026-08-24,3,1.2.0,4.88.0
dd,launch,churn30_per,per_s,s,0.136,1787648654.831866,2026-08-24,3,1.2.0,4.88.0
dd,launch,parallel20_total,total_s,s,1.007,1787648656.067709,2026-08-24,3,1.2.0,4.88.0
dd,net,pubport_h2c_p1,gbits,gbps,13.14,1787648665.325054,2026-08-24,3,1.2.0,4.88.0
